Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PHP Travels,Chrome 73.0.3683.103,,2019-04-17 16:34:53,2019-04-17 16:36:37,1m - 44.088s,PASSED
,,,,,,
Test Cases/Language,Chrome 73.0.3683.103,,2019-04-17 16:34:53,2019-04-17 16:35:52,58.735s,PASSED
openBrowser,Chrome 73.0.3683.103,,2019-04-17 16:34:53,2019-04-17 16:35:12,18.868s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:35:12,2019-04-17 16:35:13,0.352s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:35:13,2019-04-17 16:35:15,2.035s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:35:15,2019-04-17 16:35:16,1.471s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:35:16,2019-04-17 16:35:18,2.003s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:35:18,2019-04-17 16:35:18,0.137s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:35:18,2019-04-17 16:35:20,2.008s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:35:20,2019-04-17 16:35:22,2.263s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:35:22,2019-04-17 16:35:24,2.004s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:35:24,2019-04-17 16:35:25,0.102s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:35:25,2019-04-17 16:35:27,2.002s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:35:27,2019-04-17 16:35:28,1.248s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:35:28,2019-04-17 16:35:30,2.003s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:35:30,2019-04-17 16:35:30,0.172s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:35:30,2019-04-17 16:35:32,2.004s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:35:32,2019-04-17 16:35:33,1.208s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:35:33,2019-04-17 16:35:35,2.005s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:35:35,2019-04-17 16:35:35,0.138s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:35:35,2019-04-17 16:35:37,2.002s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:35:37,2019-04-17 16:35:39,1.486s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:35:39,2019-04-17 16:35:41,2.004s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:35:41,2019-04-17 16:35:41,0.146s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:35:41,2019-04-17 16:35:43,2.001s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:35:43,2019-04-17 16:35:44,1.161s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:35:44,2019-04-17 16:35:46,2.003s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:35:46,2019-04-17 16:35:46,0.133s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:35:46,2019-04-17 16:35:48,2.003s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:35:48,2019-04-17 16:35:50,1.401s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:35:50,2019-04-17 16:35:52,2.002s,PASSED
,,,,,,
Test Cases/Currency,Chrome 73.0.3683.103,,2019-04-17 16:35:52,2019-04-17 16:36:35,43.449s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:35:52,2019-04-17 16:35:52,0.112s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:35:52,2019-04-17 16:35:54,2.002s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:35:54,2019-04-17 16:35:54,0.119s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:35:54,2019-04-17 16:35:56,2.003s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:35:56,2019-04-17 16:35:57,0.134s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:35:57,2019-04-17 16:35:59,2.002s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:35:59,2019-04-17 16:35:59,0.157s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:35:59,2019-04-17 16:36:01,2.001s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:36:01,2019-04-17 16:36:01,0.137s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:36:01,2019-04-17 16:36:03,2.002s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:36:03,2019-04-17 16:36:03,0.101s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:36:03,2019-04-17 16:36:05,2.003s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:36:05,2019-04-17 16:36:05,0.356s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:36:05,2019-04-17 16:36:07,2.002s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:36:07,2019-04-17 16:36:07,0.123s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:36:07,2019-04-17 16:36:09,2.001s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:36:09,2019-04-17 16:36:10,0.138s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:36:10,2019-04-17 16:36:12,2.002s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:36:12,2019-04-17 16:36:12,0.100s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:36:12,2019-04-17 16:36:14,2.005s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:36:14,2019-04-17 16:36:14,0.159s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:36:14,2019-04-17 16:36:16,2.002s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:36:16,2019-04-17 16:36:16,0.148s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:36:16,2019-04-17 16:36:18,2.005s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:36:18,2019-04-17 16:36:18,0.156s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:36:18,2019-04-17 16:36:20,2.001s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:36:20,2019-04-17 16:36:20,0.114s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:36:20,2019-04-17 16:36:22,2.004s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:36:22,2019-04-17 16:36:22,0.148s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:36:22,2019-04-17 16:36:24,2.004s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:36:24,2019-04-17 16:36:25,0.106s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:36:25,2019-04-17 16:36:27,2.023s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:36:27,2019-04-17 16:36:27,0.216s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:36:27,2019-04-17 16:36:29,2.005s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:36:29,2019-04-17 16:36:29,0.119s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:36:29,2019-04-17 16:36:31,2.002s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:36:31,2019-04-17 16:36:31,0.182s,PASSED
